GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
QuireBind Guides,com.maiitsoh.quirebind.guides.renderer,MarkdownToHtml,0,487,7,47,0,119,7,29,0,9
QuireBind Guides,com.maiitsoh.quirebind.guides.validator,GuideValidator,0,81,0,12,0,18,0,9,0,3
QuireBind Guides,com.maiitsoh.quirebind.guides.validator,GuideValidator.ValidationReport,0,9,0,0,0,1,0,1,0,1
QuireBind Guides,com.maiitsoh.quirebind.guides.loader,GuideLoader,9,360,10,30,2,71,9,18,0,7
QuireBind Guides,com.maiitsoh.quirebind.guides.model,GuideMetadata,78,95,10,0,14,26,13,11,8,11
QuireBind Guides,com.maiitsoh.quirebind.guides.model,GuideMetadata.Builder,5,162,5,5,0,45,5,16,0,16
QuireBind Guides,com.maiitsoh.quirebind.guides.model,BindingGuide,49,21,8,0,7,6,7,3,3,3
QuireBind Guides,com.maiitsoh.quirebind.guides.model,GuideSection,66,19,12,4,11,6,13,1,5,1
